frame,x [nm],y [nm],z [nm],intensity [au]
7.0,20446.52067301794,141177.55640415847,12302.844318342795,192.9188995361328
7.0,228906.25000000003,182675.50312571228,14908.172392550809,281.7148742675781
7.0,199313.25,257477.24519093707,17847.396930058796,232.2101287841797
7.0,176459.25,110241.25000000001,22177.795237965052,47.658111572265625
7.0,71644.9298106879,101158.25,24453.375295356465,200.3401336669922
7.0,190083.75,204930.6924607456,25636.160189722792,107.85956573486328
7.0,268021.75,159970.17088651657,26543.20987654321,44.19475173950195
7.0,243556.25000000003,10621.250000000004,30055.05366089903,576.544189453125
7.0,273442.25000000006,44186.639149054885,30729.954478181437,14.659778594970703
7.0,47862.6307067275,263515.3955760002,33950.61728395061,10.95953369140625
7.0,151825.23828072846,187581.48435003686,37175.87759465347,547.2584228515625
7.0,79193.91122515872,247894.46825404468,37654.32098765432,375.4672546386719
7.0,135398.85155804455,34142.13669335842,46758.40783266373,134.92355346679688
7.0,214549.25000000003,206318.8029034138,47851.041732011014,446.30572509765625
7.0,248250.3943758961,111440.99901267141,49881.730329843216,631.3174438476562
7.0,159600.59963862228,181223.71884569526,50482.52093939133,204.99879455566406
7.0,347278.25000000006,262020.19435718658,52469.13580246913,800.0
7.0,229896.26465220004,206076.48046669364,53844.289647208316,179.2135467529297
7.0,19844.32259063422,77071.76765947044,57400.05875144291,36.99277114868164
7.0,34777.1415873319,96838.61552986503,57660.754816031746,138.8435821533203
7.0,168196.7222789228,132787.47452633455,57578.98401331018,233.151611328125
7.0,103475.13802534343,229325.75061923268,58526.77219627816,316.0329895019531
7.0,339200.63021694124,115635.97743916512,60163.290485923666,388.27703857421875
7.0,273293.4048827282,246725.4981375188,61111.11111111111,143.98089599609375
7.0,275475.2204969041,53250.108708023094,62007.77424706353,116.24340057373047
7.0,155466.32257834077,116080.0320988819,62313.19211929301,141.9165496826172
7.0,20008.913972526785,72736.89106206817,63211.137313901636,398.9505615234375
7.0,313920.31615151465,110115.36005008222,63358.485073219104,173.81289672851562
7.0,40136.765106886625,263989.5643192828,63894.78434015203,81.11235046386719
7.0,104215.86789547652,257888.2209714502,65758.28334431589,82.0206069946289
7.0,343659.0004049242,187616.95211688432,67574.06378969733,228.0802001953125
7.0,222205.19671389463,79890.5981176272,69723.18369389317,345.97906494140625
7.0,196396.30752197283,129725.75,69990.66955881353,606.5869750976562
7.0,179096.25,67283.05278580636,80365.45721101172,488.593505859375
7.0,212521.53158862147,113736.99086603522,81267.09910086643,377.01190185546875
7.0,100232.81406226754,295767.65817667544,81140.75903539304,109.60438537597656
7.0,348158.7172966409,293115.2022021562,86825.4612993311,48.94975662231445
7.0,83322.93405291438,336144.25000000006,86287.54994751494,241.3171844482422
7.0,25770.75484417378,280781.45484093955,87898.31267462835,309.82806396484375
7.0,148184.75,229345.75,90180.33253557887,506.2092590332031
7.0,170341.62544801834,293895.2038510144,92062.30066440723,343.0160827636719
7.0,224246.48131385449,63372.41126010566,94152.77426625475,19.30280303955078
7.0,206578.51215228438,102961.71380831301,92461.70991732749,35.93870544433594
7.0,46084.38576239348,179588.21089424193,92666.37916918154,322.21087646484375
7.0,225203.70651274922,63158.40424245596,95542.43344399665,20.91114044189453
7.0,182818.96028819683,90055.09449153394,95679.01234567902,178.21022033691406
8.0,70365.1265469864,348494.35966347164,3086.41975308642,14.296770095825195
8.0,131162.92635860294,29579.74000400304,5572.127693413216,24.943584442138672
8.0,230856.08539870384,183193.28267034702,5457.314168229515,51.09112548828125
8.0,109952.47696629447,296737.378047966,10831.63637437938,564.0528564453125
8.0,27935.227315060787,314381.19462031126,10787.047225016135,314.010009765625
8.0,22083.348811343312,140712.42823257184,13262.821200453205,260.73944091796875
8.0,230369.5612239619,181736.25211927856,13201.895687315198,399.5462341308594
8.0,320175.75,298278.29489123827,14533.772107995586,339.92431640625
8.0,197558.31638848223,255464.21605667472,18419.139841456472,87.70758056640625
8.0,192922.01806271076,205858.4936658442,21569.61858962421,34.28589630126953
8.0,74055.75,102183.75,26367.54994775042,666.6423950195312
8.0,269821.41320522135,161400.05106142163,26226.65689315325,81.19515228271484
8.0,274321.25,43724.73105827533,32716.04938271605,692.3927001953125
8.0,149784.2042685561,190804.20426855612,38009.1334566658,597.6343383789062
8.0,78963.66378763318,244021.34084405753,39089.04147000961,259.5101013183594
8.0,136463.4540086314,36991.24999999998,47109.55031124162,565.4479370117188
8.0,8277.249999999982,342735.71214646223,47620.7227434641,40.64448165893555
